bottom_left_y,bottom_left_x,bottom_right_y,bottom_right_x,top_left_y,top_left_x,top_right_y,top_right_x,starbucks,seven11,gs25,olive0,mcdonalds,cu,total,total_x,total_y
37.5701935,126.8420044,37.5701935,126.846501,37.5776649,126.8420044,37.5776649,126.846501,0,0,0,0,0,0,,126.8420044,37.5701935
37.5776649,126.8420044,37.5776649,126.846501,37.5851363,126.8420044,37.5851363,126.846501,0,0,0,0,0,0,,126.8420044,37.5776649
37.4880081,126.846501,37.4880081,126.8509976,37.4954795,126.846501,37.4954795,126.8509976,0,0,0,0,0,0,,126.846501,37.4880081
37.4954795,126.846501,37.4954795,126.8509976,37.5029509,126.846501,37.5029509,126.8509976,0,0,0,0,0,0,,126.846501,37.4954795
37.5029509,126.846501,37.5029509,126.8509976,37.5104223,126.846501,37.5104223,126.8509976,0,0,0,0,0,0,,126.846501,37.5029509
37.5104223,126.846501,37.5104223,126.8509976,37.5178937,126.846501,37.5178937,126.8509976,0,0,0,0,0,0,,126.846501,37.5104223
37.5178937,126.846501,37.5178937,126.8509976,37.5253651,126.846501,37.5253651,126.8509976,0,0,0,0,0,0,,126.846501,37.5178937
37.5253651,126.846501,37.5253651,126.8509976,37.5328365,126.846501,37.5328365,126.8509976,0,0,1,0,0,2,0.3,126.846501,37.5253651
37.5328365,126.846501,37.5328365,126.8509976,37.5403079,126.846501,37.5403079,126.8509976,0,0,1,0,0,0,0.1,126.846501,37.5328365
37.5403079,126.846501,37.5403079,126.8509976,37.5477793,126.846501,37.5477793,126.8509976,0,1,0,0,0,0,0.1,126.846501,37.5403079
37.5477793,126.846501,37.5477793,126.8509976,37.5552507,126.846501,37.5552507,126.8509976,0,1,1,1,0,0,0.3,126.846501,37.5477793
37.5552507,126.846501,37.5552507,126.8509976,37.5627221,126.846501,37.5627221,126.8509976,0,0,0,0,0,0,,126.846501,37.5552507
37.5627221,126.846501,37.5627221,126.8509976,37.5701935,126.846501,37.5701935,126.8509976,0,0,1,1,0,0,0.2,126.846501,37.5627221
37.5701935,126.846501,37.5701935,126.8509976,37.5776649,126.846501,37.5776649,126.8509976,0,0,0,0,0,0,,126.846501,37.5701935
37.4880081,126.8509976,37.4880081,126.8554942,37.4954795,126.8509976,37.4954795,126.8554942,0,0,0,0,0,1,0.1,126.8509976,37.4880081
37.4954795,126.8509976,37.4954795,126.8554942,37.5029509,126.8509976,37.5029509,126.8554942,0,0,0,0,0,0,,126.8509976,37.4954795
37.5029509,126.8509976,37.5029509,126.8554942,37.5104223,126.8509976,37.5104223,126.8554942,0,0,0,0,0,0,,126.8509976,37.5029509
37.5104223,126.8509976,37.5104223,126.8554942,37.5178937,126.8509976,37.5178937,126.8554942,0,0,0,0,0,0,,126.8509976,37.5104223
37.5178937,126.8509976,37.5178937,126.8554942,37.5253651,126.8509976,37.5253651,126.8554942,0,0,0,1,0,0,0.1,126.8509976,37.5178937
37.5253651,126.8509976,37.5253651,126.8554942,37.5328365,126.8509976,37.5328365,126.8554942,0,0,0,0,0,0,,126.8509976,37.5253651
37.5328365,126.8509976,37.5328365,126.8554942,37.5403079,126.8509976,37.5403079,126.8554942,0,1,0,0,0,0,0.1,126.8509976,37.5328365
37.5403079,126.8509976,37.5403079,126.8554942,37.5477793,126.8509976,37.5477793,126.8554942,0,0,0,0,0,0,,126.8509976,37.5403079
37.5477793,126.8509976,37.5477793,126.8554942,37.5552507,126.8509976,37.5552507,126.8554942,0,0,1,0,0,1,0.2,126.8509976,37.5477793
37.5552507,126.8509976,37.5552507,126.8554942,37.5627221,126.8509976,37.5627221,126.8554942,1,0,0,2,0,0,0.3,126.8509976,37.5552507
37.5627221,126.8509976,37.5627221,126.8554942,37.5701935,126.8509976,37.5701935,126.8554942,0,0,0,0,0,0,,126.8509976,37.5627221
37.5701935,126.8509976,37.5701935,126.8554942,37.5776649,126.8509976,37.5776649,126.8554942,0,0,0,0,0,0,,126.8509976,37.5701935
37.4880081,126.8554942,37.4880081,126.8599908,37.4954795,126.8554942,37.4954795,126.8599908,0,1,0,1,0,0,0.2,126.8554942,37.4880081
37.4954795,126.8554942,37.4954795,126.8599908,37.5029509,126.8554942,37.5029509,126.8599908,0,0,0,0,0,0,,126.8554942,37.4954795
37.5029509,126.8554942,37.5029509,126.8599908,37.5104223,126.8554942,37.5104223,126.8599908,0,0,1,0,0,0,0.1,126.8554942,37.5029509
37.5104223,126.8554942,37.5104223,126.8599908,37.5178937,126.8554942,37.5178937,126.8599908,0,0,0,0,0,0,,126.8554942,37.5104223
37.5178937,126.8554942,37.5178937,126.8599908,37.5253651,126.8554942,37.5253651,126.8599908,1,2,1,1,0,1,0.6,126.8554942,37.5178937
37.5253651,126.8554942,37.5253651,126.8599908,37.5328365,126.8554942,37.5328365,126.8599908,0,0,0,0,0,0,,126.8554942,37.5253651
37.5328365,126.8554942,37.5328365,126.8599908,37.5403079,126.8554942,37.5403079,126.8599908,0,0,0,0,0,0,,126.8554942,37.5328365
37.5403079,126.8554942,37.5403079,126.8599908,37.5477793,126.8554942,37.5477793,126.8599908,0,0,0,0,0,0,,126.8554942,37.5403079
37.5477793,126.8554942,37.5477793,126.8599908,37.5552507,126.8554942,37.5552507,126.8599908,0,0,0,0,0,0,,126.8554942,37.5477793
37.5552507,126.8554942,37.5552507,126.8599908,37.5627221,126.8554942,37.5627221,126.8599908,0,1,0,0,1,0,0.2,126.8554942,37.5552507
37.5627221,126.8554942,37.5627221,126.8599908,37.5701935,126.8554942,37.5701935,126.8599908,0,0,0,0,0,0,,126.8554942,37.5627221
37.5701935,126.8554942,37.5701935,126.8599908,37.5776649,126.8554942,37.5776649,126.8599908,0,0,0,0,0,0,,126.8554942,37.5701935
37.4954795,126.8599908,37.4954795,126.8644874,37.5029509,126.8599908,37.5029509,126.8644874,0,0,0,0,1,0,0.1,126.8599908,37.4954795
37.5029509,126.8599908,37.5029509,126.8644874,37.5104223,126.8599908,37.5104223,126.8644874,0,1,0,0,0,1,0.2,126.8599908,37.5029509
37.5104223,126.8599908,37.5104223,126.8644874,37.5178937,126.8599908,37.5178937,126.8644874,0,1,1,1,1,0,0.4,126.8599908,37.5104223
37.5178937,126.8599908,37.5178937,126.8644874,37.5253651,126.8599908,37.5253651,126.8644874,0,0,1,0,0,1,0.2,126.8599908,37.5178937
37.5253651,126.8599908,37.5253651,126.8644874,37.5328365,126.8599908,37.5328365,126.8644874,1,0,0,1,1,1,0.4,126.8599908,37.5253651
37.5328365,126.8599908,37.5328365,126.8644874,37.5403079,126.8599908,37.5403079,126.8644874,1,2,0,0,0,0,0.3,126.8599908,37.5328365
37.5403079,126.8599908,37.5403079,126.8644874,37.5477793,126.8599908,37.5477793,126.8644874,0,0,1,0,0,0,0.1,126.8599908,37.5403079
37.5477793,126.8599908,37.5477793,126.8644874,37.5552507,126.8599908,37.5552507,126.8644874,0,0,2,0,0,0,0.2,126.8599908,37.5477793
37.5552507,126.8599908,37.5552507,126.8644874,37.5627221,126.8599908,37.5627221,126.8644874,1,1,0,1,0,0,0.3,126.8599908,37.5552507
37.5627221,126.8599908,37.5627221,126.8644874,37.5701935,126.8599908,37.5701935,126.8644874,0,0,0,0,0,0,,126.8599908,37.5627221
37.5701935,126.8599908,37.5701935,126.8644874,37.5776649,126.8599908,37.5776649,126.8644874,0,0,0,0,0,0,,126.8599908,37.5701935
